Tue Nov 15 11:33:40 2022    exec.dat

         447384 function calls (399713 primitive calls) in 4.897 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      475    0.010    0.000    0.015    0.000 /usr/lib/python3.8/enum.py:200(<setcomp>)
      720    0.010    0.000    0.010    0.000 {built-in method drawChord}
     1042    0.010    0.000    0.010    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:25(boundingRect)
     5452    0.010    0.000    0.010    0.000 /usr/lib/python3.8/enum.py:22(_is_dunder)
     1862    0.010    0.000    0.010    0.000 {built-in method setItem}
     5452    0.009    0.000    0.010    0.000 /usr/lib/python3.8/enum.py:33(_is_sunder)
      420    0.009    0.000    0.009    0.000 {built-in method drawPath}
     1646    0.008    0.000    0.011    0.000 {function ChildGroup.itemChange at 0x7fe3ab9c4ee0}
        1    0.008    0.008    0.008    0.008 {built-in method gc.get_objects}
      120    0.008    0.000    0.055    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:600(paint)
      429    0.008    0.000    0.015    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1272    0.008    0.000    0.018    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:331(mkBrush)
        9    0.008    0.001    0.008    0.001 {built-in method context}
6160/2086    0.008    0.000    0.026    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:276(_FieldToJsonObject)
3198/3104    0.008    0.000    0.329    0.000 /usr/lib/python3.8/enum.py:313(__call__)
      475    0.007    0.000    0.007    0.000 /usr/lib/python3.8/enum.py:175(<dictcomp>)
1646/1622    0.007    0.000    0.199    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsObject.py:21(itemChange)
      308    0.007    0.000    0.009    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/parametertree/parameterTypes/basetypes.py:247(eventFilter)
     1186    0.006    0.000    0.006    0.000 {method 'ListFields' of 'google.protobuf.pyext._message.CMessage' objects}
       60    0.006    0.000    0.012    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:445(draw_robot_speeds)
       12    0.006    0.001    0.010    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/TextItem.py:112(setFont)
     2136    0.006    0.000    0.006    0.000 {built-in method setPen}
        9    0.006    0.001    0.006    0.001 {built-in method swapBuffers}
19501/19495    0.005    0.000    0.006    0.000 {built-in method builtins.hasattr}
      360    0.005    0.000    0.005    0.000 {built-in method drawRect}
2723/2629    0.005    0.000    0.008    0.000 /usr/lib/python3.8/enum.py:631(__new__)
     9213    0.005    0.000    0.007    0.000 {built-in method builtins.getattr}
      900    0.005    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:39(createCircle)
    26506    0.005    0.000    0.005    0.000 {built-in method builtins.len}
