Tue Nov 15 11:25:06 2022    exec.dat

         676609 function calls (618301 primitive calls) in 10.649 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.031    0.031    5.410    5.410 {built-in method show}
      225    0.029    0.000    0.029    0.000 {built-in method numpy.arange}
       50    0.028    0.001    0.028    0.001 {method 'disconnect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
      150    0.028    0.000    0.028    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:448(glEnableVertexAttribArray)
       30    0.027    0.001    0.027    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:1517(load_char)
       14    0.026    0.002    0.026    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:210(glCompileShader)
      190    0.024    0.000    0.024    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:439(glEnable)
     7774    0.024    0.000    2.716    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/lib/function_base.py:1456(interp)
      475    0.023    0.000    0.028    0.000 /usr/lib/python3.8/enum.py:200(<setcomp>)
       30    0.022    0.001    0.613    0.020 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/fonts/_freetype.py:45(_load_glyph)
       14    0.022    0.002    0.366    0.026 {function GraphicsView.paintEvent at 0x7f70e15ccf70}
     5452    0.022    0.000    0.079    0.000 /usr/lib/python3.8/enum.py:75(__setitem__)
